Palavra             Frequência     Grafia Moderna      
caꭍcavel            3              cascavel            
caꭍtella            1              castela             
ccura               1              ccura               
cear                1              cear                
cega                1              cega                
cegos               1              cegos               
celebrado           1              celebrado           
cem                 1              cem                 
centaurca           1              centaurca           
centeio             1              centeio             
cereijas            2              cereijas            
cerejas             2              cerejas             
cerfolio            3              cerfolio            
ceri                1              ceri                
cerramente          1              cerramente          
certa               4              certa               
certamente          5              certamente          
certas              1              certas              
certaõ              1              certão              
certeza             1              certeza             
certifica           2              certifica           
certificar          2              certificar          
certificaraõ        1              certificarão        
certificarſe        2              certificarse        
certificaõ          1              certificão          
certissimamente     1              certissimamente     
certo               4              certo               
certão              2              certão              
cesfelio            1              cesfelio            
cetuval             1              cetuval             
cevada              1              cevada              
cevadas             1              cevadas             
cezaõ               1              cezão               
cezoens             2              cezoens             
chaga               7              chaga               
chagas              5              chagas              
chama               11             chama               
chamada             25             chamada             
chamado             10             chamado             
chamados            1              chamados            
chamam              3              chamam              
chamamos            2              chamamos            
chamando            1              chamando            
chamao              1              chamao              
chamar              2              chamar              
chamaraõ            1              chamarão            
chamava             1              chamava             
chamaõ              13             chamão              
chamento            1              chamento            
chaminé             1              chaminé             
chamàraõ            1              chamarão            
chamão              1              chamão              
charneca            1              charneca            
chatas              1              chatas              
chaõ                1              chão                
chea                5              chea                
cheas               1              cheas               
chega               1              chega               
chegada             2              chegada             
chegado             1              chegado             
chegaõ              1              chegão              
cheguem             2              cheguem             
cheira              1              cheira              
cheiro              2              cheiro              
cheyos              1              cheios              
chicara             6              chicara             
china               4              china               
cho                 1              cho                 
chriſto             1              christo             
chupa               2              chupa               
chupaõ              1              chupão              
ci                  1              ci                  
ciculaçaõ           1              ciculação           
cidade              1              cidade              
cidades             2              cidades             
cidra               1              cidra               
cidreira            2              cidreira            
cima                2              cima                
cinco               14             cinco               
cincoenta           4              cincoenta           
cinzas              1              cinzas              
circula             1              circula             
circular            2              circular            
circulação          1              circulação          
circunſtancia       1              circunstância       
cirurgia            1              cirurgia            
cirurgião           2              cirurgião           
cirurgiões          1              cirurgiões          
citado              1              citado              
citava              1              citava              
ciuretica           1              ciuretica           
clara               2              clara               
claro               2              claro               
clima               1              clima               
climas              1              climas              
co                  6              co                  
coada               3              coada               
coalhado            1              coalhado            
coará               1              coará               
cobra               24             cobra               
cobras              9              cobras              
cobres              1              cobres              
cobrindo            1              cobrindo            
coco                5              coco                
codeço              1              codeço              
col                 1              col                 
colera              3              colera              
colher              4              colher              
colheres            6              colheres            
colica              7              colica              
colicas             2              colicas             
collegio            1              colegio             
collo               1              colo                
com                 402            com                 
comdiçaõ            1              comdição            
comdição            1              comdição            
come                1              come                
comece              1              comece              
comecem             1              comecem             
comem               2              comem               
comendo             1              comendo             
comer               9              comer               
comeraõ             1              comerão             
comerem             1              comerem             
comettem            1              comettem            
começando           2              começando           
começar             1              começar             
comforta            1              comforta            
comichões           2              comichões           
commetta            1              commetta            
commua              12             commua              
commuas             1              commuas             
commum              3              commum              
communicaõ          1              communicão          
communique          1              communique          
como                118            como                
compadecido         1              compadecido         
compaixão           1              compaixão           
companhia           6              companhia           
compoem             1              compoem             
composta            1              composta            
compostos           1              compostos           
compoſtas           5              compostas           
compoſtos           1              compostos           
compoꭍiçaõ          1              composição          
compoꭍta            1              composta            
compoꭍtos           1              compostos           
compreiçaõ          1              compreição          
comprida            1              comprida            
compridas           1              compridas           
compridos           1              compridos           
comprimento         5              comprimento         
comprimidinha       1              comprimidinha       
comprimmento        1              comprimmento        
comſervar           1              comservar           
comſervão           1              comservão           
comſigo             2              comsigo             
comſta              1              comsta              
comꭍta              1              comsta              
conceyto            1              conceito            
conciliar           1              conciliar           
condic              1              condic              
condiçao            1              condiçao            
condiçaõ            11             condição            
condiçoens          2              condiçoens          
condição            17             condição            
confessar           1              confessar           
confeſſo            2              confesso            
confiada            1              confiada            
