Palavra             Frequência     Grafia Moderna      
promptiſſimo        1              promptissimo        
propoſito           1              proposito           
propriedade         1              propriedade         
prouvera            1              prouvera            
proveito            9              proveito            
proveitos           4              proveitos           
proveitosos         1              proveitosos         
proveitoſa          2              proveitosa          
proveitoſo          1              proveitoso          
proveytos           3              proveitos           
providencia         1              providencia         
provincia           1              provincia           
provoca             8              provoca             
provocar            4              provocar            
provocaõ            1              provocão            
provoque            1              provoque            
províncias          1              províncias          
proximos            1              proximos            
proſtrado           1              prostrado           
príncipio           1              príncipio           
próprias            1              próprias            
próprio             1              próprio             
publica             2              publica             
publicas            1              publicas            
publico             2              publico             
pucaros             1              pucaros             
puder               3              puder               
pudera              1              pudera              
pudeſſemos          1              pudessemos          
pudèra              1              pudera              
pugaçoens           1              pugaçoens           
pugillo             1              pugilo              
pulmonis            1              pulmonis            
pulverizada         2              pulverizada         
pulverizado         1              pulverizado         
pulverizados        1              pulverizados        
pulverizarà         2              pulverizara         
pulꭍos              1              pulsos              
pur                 1              pur                 
pura                3              pura                
purga               3              purga               
purgar              1              purgar              
purgativa           1              purgativa           
purgativas          1              purgativas          
purgação            1              purgação            
purificativa        1              purificativa        
putrefaçaõ          1              putrefação          
puxos               1              puxos               
pàes                1              paes                
pào                 8              pao                 
pàos                2              paos                
páo                 6              páo                 
páos                1              páos                
pão                 1              pão                 
pè                  3              pe                  
pès                 2              pes                 
pílulas             1              pílulas             
pò                  62             pò                  
pòde                12             pòde                
pòdem               1              pòdem               
pòs                 10             pòs                 
pó                  14             pó                  
póde                5              póde                
pódem               2              pódem               
pô                  1              pô                  
q                   7              q                   
qie                 1              qie                 
ql                  1              ql                  
quadrada            1              quadrada            
quaes               8              quaes               
quaeſquer           1              quaesquer           
quaisquer           1              quaisquer           
qual                13             qual                
qualder             1              qualder             
qualidade           6              qualidade           
qualidades          1              qualidades          
qualificadas        1              qualificadas        
qualque             1              qualque             
qualquer            39             qualquer            
quando              26             quando              
quanta              1              quanta              
quantidade          40             quantidade          
quanto              9              quanto              
quarenta            3              quarenta            
quartans            3              quartans            
quartas             1              quartas             
quarti              1              quarti              
quartilho           16             quartilho           
quartilhos          1              quartilhos          
quarto              7              quarto              
quartãs             2              quartãs             
quasi               1              quasi               
quatro              44             quatro              
quaſi               5              quasi               
quaꭍi               5              quasi               
que                 720            que                 
quebra              1              quebra              
quebrados           1              quebrados           
quebraduras         1              quebraduras         
quebrar             1              quebrar             
quedas              2              quedas              
queijo              4              queijo              
queira              1              queira              
queiraõ             2              queirão             
queixa              1              queixa              
queixoſa            2              queixosa            
queixoꭍa            1              queixosa            
quem                30             quem                
quente              19             quente              
quentes             2              quentes             
quentura            7              quentura            
quer                6              quer                
querem              6              querem              
quererem            1              quererem            
querimba            1              querimba            
quero               2              quero               
queyxas             1              queixas             
queyxão             1              queixão             
quicongo            1              quicongo            
quieseco            1              quieseco            
quieſco             1              quiesco             
quiminha            1              quiminha            
quinaquina          6              quinaquina          
quinas              1              quinas              
quintilo            1              quintilo            
quinze              6              quinze              
quiriato            3              quiriato            
quiserem            1              quiserem            
quitumbata          1              quitumbata          
quiz                2              quiz                
quizer              2              quizer              
quizerem            5              quizerem            
quiſerem            1              quiserem            
qundo               1              qundo               
quèda               1              queda               
rabãos              1              rabãos              
rado                1              rado                
rafael              1              rafael              
rainha              1              rainha              
rais                1              rais                
raiz                163            raiz                
raizes              14             raizes              
ralado              1              ralado              
rameloꭍos           1              ramelosos           
rara                1              rara                
raras               5              raras               
rarissimas          1              rarissimas          
rariſſimas          1              rarissimas          
raros               1              raros               
rasgarlhe           1              rasgarlhe           
rattheinakes        1              ratteinakes         
rattle              1              rattle              
razaõ               6              razão               
razoens             2              razoens             
razão               6              razão               
razões              1              razões              
raíz                2              raíz                
raízes              4              raízes              
raſpada             1              raspada             
rebate              2              rebate              
rebater             5              rebater             
rebateſſem          1              rebatessem          
rebelde             3              rebelde             
rebeldes            2              rebeldes            
rebenrar            1              rebenrar            
rebenta             1              rebenta             
rebentar            1              rebentar            
rebentaſſe          1              rebentasse          
rebentou            1              rebentou            
recebido            1              recebido            
receita             1              receita             
recolher            2              recolher            
recolheſſe          1              recolhesse          
redonda             2              redonda             
redondas            2              redondas            
reduziraõ           1              reduzirão           
refinada            1              refinada            
refinado            2              refinado            
refiro              1              refiro              
refreſca            1              refresca            
refreſcativa        1              refrescativa        
regimento           3              regimento           
região              1              região              
regra               1              regra               
regulando           1              regulando           
reino               2              reino               
reis                1              reis                
relaxado            1              relaxado            
relaçaõ             1              relação             
religioso           1              religioso           
religioſa           1              religiosa           
religioſo           3              religioso           
religioſos          1              religiosos          
religioꭍo           1              religioso           
religioꭍos          1              religiosos          
remedio             90             remedio             
remedios            26             remedios            
remora              3              remora              
remédio             3              remédio             
remédios            5              remédios            
rendem              1              rendem              
reparar             1              reparar             
repartem            1              repartem            
repentina           1              repentina           
repentinamente      2              repentinamente      
repentindo          1              repentindo          
repete              1              repete              
repetidas           6              repetidas           
repetidos           1              repetidos           
repetindo           3              repetindo           
repetir             2              repetir             
repetirà            1              repetira            
reprehençaõ         1              reprehenção         
reprezado           1              reprezado           
reprezar            1              reprezar            
reprimi             1              reprimi             
republica           1              republica           
requeiro            1              requeiro            
retençaõ            1              retenção            
retroz              1              retroz              
revelem             1              revelem             
reveleẏ             2              revelei             
revelo              2              revelo              
reverberado         1              reverberado         
rey                 4              rei                 
reyno               11             reino               
rezado              1              rezado              
reſfriado           1              resfriado           
reſiſte             1              resiste             
reſiſtir            1              resistir            
reſolva             1              resolva             
reſolve             1              resolve             
reſolver            3              resolver            
reſolvera           1              resolvera           
reſolverá           2              resolverá           
reſolvo             1              resolvo             
reſpeito            1              respeito            
reſpirar            1              respirar            
reſpiraçaõ          1              respiração          
reſpondo            1              respondo            
reſta               5              resta               
reſtamento          1              restamento          
reſtituir           1              restituir           
reſtituição         1              restituição         
reſultaõ            1              resultão            
reꭍguardo           2              resguardo           
reꭍpiraçao          1              respiraçao          
reꭍuꭍcitados        1              resuscitados        
rgo                 1              rgo                 
rhamno              1              rhamno              
rheumatiſm          1              rheumatism          
rhim                3              rhim                
rilha               3              rilha               
rilhaboy            1              rilhaboi            
rim                 1              rim                 
rins                6              rins                
rio                 4              rio                 
rios                1              rios                
rira                1              rira                
riſco               1              risco               
roballo             3              robalo              
roberto             1              roberto             
robusꭍtos           1              robusstos           
roda                1              roda                
rofada              1              rofada              
rolado              1              rolado              
romarem             1              romarem             
ropa                1              ropa                
rosada              2              rosada              
rosto               1              rosto               
roteiro             1              roteiro             
roupa               1              roupa               
roçada              7              roçada              
roçado              1              roçado              
roçados             1              roçados             
roçando             3              roçando             
roçar               1              roçar               
roçara              1              roçara              
roçarem             1              roçarem             
roçou               1              roçou               
roſada              3              rosada              
roſado              1              rosado              
roſolgar            2              rosolgar            
roſto               1              rosto               
roꭍalgar            1              rosalgar            
rpincipalmete       1              rpincipalmete       
rua                 6              rua                 
ruas                2              ruas                
rude                1              rude                
rudio               1              rudio               
rullando            1              rulando             
ruſtico             1              rustico             
rve                 1              rve                 
s                   8              s                   
sabemos             1              sabemos             
sabido              1              sabido              
safira              2              safira              
sahir               1              sahir               
sahira              1              sahira              
salvagem            1              salvagem            
sangrias            2              sangrias            
sangue              3              sangue              
santa               1              santa               
santiago            1              santiago            
santo               1              santo               
sapuche             1              sapuche             
sara                1              sara                
sarou               1              sarou               
saõ                 5              são                 
se                  49             se                  
sec                 1              sec                 
secretos            1              secretos            
segredo             1              segredo             
segredos            2              segredos            
seguinte            2              seguinte            
seguintes           2              seguintes           
seguras             1              seguras             
seis                5              seis                
seja                2              seja                
sejaõ               2              sejão               
selhe               1              selhe               
sem                 2              sem                 
semente             1              semente             
sementes            2              sementes            
semmedo             2              semmedo             
sena                1              sena                
sendo               1              sendo               
senhor              3              senhor              
senhora             1              senhora             
senhores            2              senhores            
serpentaria         1              serpentaria         
serrão              1              serrão              
serve               82             serve               
seu                 2              seu                 
seus                1              seus                
si                  2              si                  
simplez             2              simplez             
simplices           7              simplices           
singulares          1              singulares          
sinta               1              sinta               
snakes              1              snakes              
sobre               8              sobre               
sobreditas          1              sobreditas          
sobreditos          1              sobreditos          
sol                 1              sol                 
solor               1              solor               
soltas              1              soltas              
sorte               3              sorte               
sos                 1              sos                 
soube               1              soube               
soubeſſe            1              soubesse            
sua                 2              sua                 
suas                22             suas                
suavidade           1              suavidade           
subtiliſſimo        1              subtilissimo        
subtilíssimo        1              subtilíssimo        
succede             2              succede             
successivos         1              successivos         
suceſſivos          1              sucessivos          
sugeitos            1              sugeitos            
sulada              1              sulada              
suor                1              suor                
suppressaõ          1              supressão           
suppressoens        2              supressoens         
supreſſoens         1              supressoens         
sãõ                 1              sãõ                 
só                  1              só                  
sómena              1              sómena              
ta                  1              ta                  
tabaco              2              tabaco              
taboas              1              taboas              
tacs                1              tacs                
taes                16             taes                
tal                 76             tal                 
talhadinha          1              talhadinha          
talhadinhas         1              talhadinhas         
tam                 6              tam                 
tamanhas            1              tamanhas            
tamanho             8              tamanho             
tamanhos            1              tamanhos            
tamaras             1              tamaras             
tambem              52             tambem              
tambuape            2              tambuape            
també               1              també               
também              4              também              
tanchagem           2              tanchagem           
tanchaª             1              tanchaª             
tando               1              tando               
tangendo            1              tangendo            
tanta               5              tanta               
tantas              3              tantas              
tanto               22             tanto               
tantos              2              tantos              
tar                 1              tar                 
tarde               6              tarde               
tartarea            1              tartarea            
tartaro             14             tartaro             
tartato             1              tartato             
tarão               1              tarão               
taõ                 40             tão                 
tcha                1              tcha                
te                  6              te                  
tejaõ               1              tejão               
tem                 134            tem                 
temeridade          1              temeridade          
temiaõ              1              temião              
temos               2              temos               
temperado           1              temperado           
temperamento        1              temperamento        
temperar            1              temperar            
tempero             1              tempero             
tempo               31             tempo               
tempos              1              tempos              
tempò               1              tempò               
temèra              1              temera              
tendo               7              tendo               
tenha               12             tenha               
tenhaõ              2              tenhão              
tenho               19             tenho               
tenhão              3              tenhão              
ter                 3              ter                 
terceira            7              terceira            
terceiro            1              terceiro            
terceyra            5              terceira            
terceyro            1              terceiro            
terebentina         1              terebentina         
tericia             1              tericia             
termo               2              termo               
termos              2              termos              
terra               4              terra               
terras              20             terras              
terreſtre           1              terrestre           
terà                1              tera                
terá                2              terá                
terão               1              terão               
terçans             1              terçans             
terçãs              2              terçãs              
tes                 1              tes                 
teve                1              teve                
teymoſos            1              teimosos            
teſta               3              testa               
teſtemunha          4              testemunha          
teſtemunhas         1              testemunhas         
teſticulos          1              testiculos          
teꭍtemunhas         1              testemunhas         
tico                2              tico                
tidas               1              tidas               
tigres              1              tigres              
tinha               7              tinha               
tinham              1              tinham              
tinhaõ              1              tinhão              
tinhão              1              tinhão              
tinta               4              tinta               
tinto               1              tinto               
tira                7              tira                
tirada              2              tirada              
tirado              1              tirado              
tirar               8              tirar               
tirarem             1              tirarem             
tirarião            1              tirarião            
tirará              1              tirará              
tiras               1              tiras               
tiraõ               1              tirão               
tiraſſem            1              tirassem            
tire                2              tire                
tirey               1              tirei               
tirou               1              tirou               
tirão               3              tirão               
tisanas             1              tisanas             
title               1              title               
tive                1              tive                
tiver               13             tiver               
tivera              1              tivera              
tiverem             4              tiverem             
tiverão             1              tiverão             
tiveſſe             1              tivesse             
tiveſſem            1              tivessem            
tiſana              1              tisana              
toberano            1              toberano            
tocada              1              tocada              
tocado              2              tocado              
tocados             1              tocados             
tocar               1              tocar               
toda                37             toda                
todas               28             todas               
todo                28             todo                
todos               27             todos               
tolhido             1              tolhido             
toma                13             toma                
tomada              18             tomada              
tomadas             3              tomadas             
tomado              17             tomado              
tomalla             2              tomala              
tomanda             1              tomanda             
tomando             18             tomando             
tomar               18             tomar               
tomarem             1              tomarem             
tomaõ               3              tomão               
tomaſſem            1              tomassem            
tome                14             tome                
tomem               2              tomem               
tomo                1              tomo                
tomou               3              tomou               
tomão               1              tomão               
toque               2              toque               
torceduras          1              torceduras          
tormentilla         1              tormentila          
tornar              3              tornar              
tornarey            1              tornarei            
tornarà             1              tornara             
tornará             2              tornará             
tornaõ              1              tornão              
torne               1              torne               
tortura             1              tortura             
total               1              total               
totalmente          1              totalmente          
toſſigofos          1              tossigofos          
trabalhey           1              trabalhei           
tract               1              tract               
traga               1              traga               
tranchagem          1              tranchagem          
tranquillo          1              tranquilo           
trat                10             trat                
tratando            1              tratando            
traz                1              traz                
trazeiro            1              trazeiro            
trazem              1              trazem              
trazendo            2              trazendo            
trazida             4              trazida             
trazido             3              trazido             
tres                42             tres                
triaga              4              triaga              
triangular          2              triangular          
trigo               1              trigo               
trinta              3              trinta              
trio                1              trio                
tripas              2              tripas              
trociſcos           1              trociscos           
tronco              1              tronco              
trornando           1              trornando           
trouxer             2              trouxer             
troya               1              troia               
três                3              três                
tuas                1              tuas                
tudo                10             tudo                
tumor               2              tumor               
tumores             1              tumores             
tunica              1              tunica              
turquia             1              turquia             
tão                 15             tão                 
ucar                1              ucar                
uma                 1              uma                 
umas                1              umas                
umſculo             1              umsculo             
un                  2              un                  
une                 1              une                 
unem                1              unem                
unfuſaõ             1              unfusão             
ungarete            1              ungarete            
ungento             1              ungento             
ungida              1              ungida              
ungidas             1              ungidas             
ungidos             4              ungidos             
unguento            7              unguento            
unguentos           1              unguentos           
unguka              1              unguka              
unha                7              unha                
unhas               3              unhas               
unico               2              unico               
unicorne            4              unicorne            
univerſal           1              universal           
unta                1              unta                
untando             22             untando             
untandolhe          1              untandolhe          
untar               3              untar               
untarà              1              untara              
untará              1              untará              
untem               1              untem               
untou               2              untou               
usa                 1              usa                 
usando              1              usando              
usar                1              usar                
usaõ                1              usão                
uterino             1              uterino             
uterinos            3              uterinos            
utilidade           4              utilidade           
uvas                1              uvas                
uzagre              1              uzagre              
uſa                 7              usa                 
uſada               1              usada               
uſado               2              usado               
uſando              2              usando              
uſar                7              usar                
uſaõ                1              usão                
uſey                1              usei                
uſo                 3              uso                 
uſſem               1              ussem               
uꭍar                1              usar                
vaca                2              vaca                
vacas               3              vacas               
val                 3              val                 
valeraõ             1              valerão             
valeriana           2              valeriana           
valor               1              valor               
vanelmoncio         1              vanelmoncio         
vanhelmonte         1              vanhelmonte         
vantagem            1              vantagem            
vapores             1              vapores             
varias              3              varias              
varios              9              varios              
vay                 2              vai                 
vaza                1              vaza                
vazo                2              vazo                
vaõ                 3              vão                 
veado               2              veado               
veas                3              veas                
veezs               1              veezs               
vehiculo            1              vehiculo            
veis                1              veis                
vejaõ               3              vejão               
vejo                2              vejo                
vejão               1              vejão               
velha               1              velha               
velhice             1              velhice             
velho               2              velho               
velhos              1              velhos              
vem                 17             vem                 
vemos               1              vemos               
vencer              5              vencer              
vendaõ              1              vendão              
vende               2              vende               
vendendo            1              vendendo            
vender              2              vender              
veneno              36             veneno              
venenos             2              venenos             
venenosa            1              venenosa            
venenosas           2              venenosas           
venenosos           1              venenosos           
venenoſa            1              venenosa            
venenoſas           7              venenosas           
venenoſiſſima       1              venenosissima       
venenoſo            1              venenoso            
venenoſos           4              venenosos           
venenoꭍa            2              venenosa            
venenoꭍas           2              venenosas           
venenoꭍiꭍꭍima       1              venenosissima       
venta               1              venta               
ventas              4              ventas              
ventoſas            4              ventosas            
ventoſidades        7              ventosidades        
ventre              9              ventre              
ver                 8              ver                 
verbaſco            1              verbasco            
verdade             8              verdade             
verdadeira          7              verdadeira          
verdadeiramente     1              verdadeiramente     
verdadeiro          1              verdadeiro          
verdadeiros         2              verdadeiros         
verdadeyra          2              verdadeira          
verdadeyramente     2              verdadeiramente     
verdadeyras         5              verdadeiras         
verdadeyro          1              verdadeiro          
verdadeyros         2              verdadeiros         
verde               4              verde               
verdes              1              verdes              
vergotinhas         1              vergotinhas         
vermelhidaõ         1              vermelhidão         
vertigens           1              vertigens           
vez                 18             vez                 
veze                1              veze                
vezes               50             vezes               
vi                  3              vi                  
via                 1              via                 
vibora              2              vibora              
viboras             2              viboras             
vida                8              vida                
vidas               1              vidas               
vidro               1              vidro               
vierem              1              vierem              
vigor               1              vigor               
vilcolos            1              vilcolos            
vimal               1              vimal               
vinagre             5              vinagre             
vincetoxico         1              vincetoxico         
vindo               4              vindo               
vinha               1              vinha               
vinho               27             vinho               
vinte               17             vinte               
violenvia           1              violenvia           
vir                 5              vir                 
vira                1              vira                
virga               4              virga               
virgem              4              virgem              
virginiana          4              virginiana          
virginique          1              virginique          
virtu               1              virtu               
virtude             71             virtude             
virtudea            1              virtudea            
virtudes            100            virtudes            
virá                1              virá                
virão               2              virão               
viso                2              viso                
vista               1              vista               
visto               3              visto               
vitriolo            2              vitriolo            
vive                1              vive                
vivem               2              vivem               
vivente             1              vivente             
viveo               1              viveo               
vivirà              1              vivira              
vivos               1              vivos               
vizinha             1              vizinha             
vizinho             1              vizinho             
viſinha             1              visinha             
viſo                1              viso                
viſta               4              vista               
viſto               4              visto               
vocabulario         1              vocabulario         
volatil             1              volatil             
volta               1              volta               
vomitam             1              vomitam             
vomite              1              vomite              
vomitiva            1              vomitiva            
vomito              3              vomito              
vomitoria           1              vomitoria           
vomitorio           5              vomitorio           
vomitorios          6              vomitorios          
vomitos             4              vomitos             
vomitório           2              vomitório           
vontade             2              vontade             
vulgarmente         3              vulgarmente         
vurtudes            1              vurtudes            
và                  1              va                  
vàgados             2              vagados             
vágados             2              vágados             
vè                  2              ve                  
vê                  1              vê                  
vſq                 1              vsq                 
xaqueca             1              xaqueca             
xarope              4              xarope              
xaropes             1              xaropes             
xavier              1              xavier              
xenninga            1              xeninga             
xeringola           1              xeringola           
zelo                2              zelo                
zuchi               2              zuchi               
zuichi              1              zuichi              
à                   18             a                   
àquellas            1              aquelas             
àquelles            1              aqueles             
às                  8              as                  
á                   8              á                   
água                1              água                
área                1              área                
ás                  2              ás                  
çumo                16             çumo                
ú                   1              ú                   
últimos             1              últimos             
única               1              única               
ē                   1              ē                   
ōs                  1              ōs                  
ſa                  2              sa                  
ſabe                1              sabe                
ſabem               1              sabem               
ſabemos             1              sabemos             
ſaber               2              saber               
ſabina              1              sabina              
ſacos               1              sacos               
ſadeyra             1              sadeira             
ſahir               3              sahir               
ſahirem             1              sahirem             
ſahirà              1              sahira              
ſaibaõ              1              saibão              
ſal                 2              sal                 
ſalgado             1              salgado             
ſaliva              1              saliva              
ſaltar              1              saltar              
ſalvando            1              salvando            
ſalvar              2              salvar              
ſalvo               2              salvo               
ſalſa               3              salsa               
ſanchagem           1              sanchagem           
